Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/12/28, 21:09:20, 47.408123, 4.854079, 3427.55,  1548.00, 277, -2, 0.00, 1
2016/12/29, 06:57:11, 47.408123, 4.854079, 3427.55,  1548.00, 277, -4, 0.00, 1
2016/12/29, 07:26:06, 47.407269, 4.892456, 397.89,  324.00, 198, -2, 0.00, 1
2016/12/29, 07:36:17, 47.407150, 4.892005, 330.00,  1764.00, 207, 0, 36.43, 1
2016/12/29, 08:02:13, 47.407448, 4.891852, 378.73,  432.00, 267, 0, 35.08, 1
2016/12/29, 08:25:04, 47.407497, 4.891865, 402.66,  828.00, 91, 0, 5.54, 1
2016/12/29, 08:47:15, 47.407364, 4.891671, 355.60,  0.00, 308, 0, 20.78, 1
2016/12/29, 08:57:10, 47.407425, 4.891861, 368.68,  3672.00, 97, 0, 15.83, 1
2016/12/29, 09:07:07, 47.407516, 4.891723, 360.52,  936.00, 273, 0, 14.50, 1
2016/12/29, 09:17:00, 47.407372, 4.891556, 357.46,  4068.00, 299, 0, 20.36, 1
2016/12/29, 09:26:56, 47.407326, 4.891786, 356.02,  1512.00, 69, 0, 18.05, 1
2016/12/29, 09:36:55, 47.407280, 4.891917, 323.85,  288.00, 320, 0, 11.11, 1
2016/12/29, 09:47:04, 47.407307, 4.891790, 352.73,  1368.00, 129, 0, 10.02, 1
2016/12/29, 09:57:18, 47.407337, 4.891648, 357.29,  648.00, 302, 0, 11.19, 1
2016/12/29, 10:10:34, 47.407623, 4.892898, 350.94,  2376.00, 306, 0, 99.30, 1
2016/12/29, 14:24:39, 47.407623, 4.892898, 350.94,  2376.00, 306, 0, 0.00, 1
2016/12/29, 14:35:43, 47.407406, 4.892958, 366.13,  252.00, 81, 0, 24.55, 1
2016/12/29, 14:46:33, 47.407433, 4.892860, 377.44,  576.00, 214, 0, 7.96, 1
2016/12/29, 15:23:42, 47.407249, 4.892839, 357.74,  3096.00, 65, 0, 20.52, 1
2016/12/29, 21:48:37, 47.407249, 4.892839, 357.74,  3096.00, 65, 0, 0.00, 1
2016/12/29, 22:25:44, 47.407173, 4.893056, 310.69,  1800.00, 321, 0, 18.39, 1
2016/12/29, 22:36:19, 47.407158, 4.892921, 322.30,  792.00, 282, -4, 10.30, 1
2016/12/30, 02:17:50, 47.407158, 4.892921, 322.30,  792.00, 282, -2, 0.00, 1
2016/12/30, 02:31:49, 47.407112, 4.892430, 372.22,  792.00, 107, 0, 37.30, 1
2016/12/30, 02:42:04, 47.406475, 4.891963, 793.26,  1044.00, 152, 0, 79.07, 1
2016/12/30, 03:32:20, 47.406364, 4.892584, 372.18,  1512.00, 216, 0, 48.34, 1
2016/12/30, 04:06:32, 47.406483, 4.892598, 368.11,  1044.00, 175, 0, 13.27, 1
2016/12/30, 04:37:03, 47.406914, 4.892936, 364.09,  0.00, 197, 0, 54.26, 1
2016/12/30, 04:47:28, 47.406837, 4.892885, 397.44,  1764.00, 321, 0, 9.38, 1
2016/12/30, 05:12:25, 47.406914, 4.892082, 379.91,  396.00, 326, 0, 61.03, 1
2016/12/30, 09:02:10, 47.406914, 4.892082, 379.91,  396.00, 326, 0, 0.00, 1
2016/12/30, 10:07:56, 47.407391, 4.893589, 364.62,  504.00, 302, 0, 125.20, 1
2016/12/30, 10:19:03, 47.407681, 4.892859, 374.09,  1656.00, 296, 0, 63.70, 1
2016/12/31, 00:41:10, 47.407681, 4.892859, 374.09,  1656.00, 296, 0, 0.00, 1
2016/12/31, 00:55:33, 47.407360, 4.892720, 350.94,  468.00, 172, -4, 37.19, 1
2016/12/31, 01:05:53, 47.407360, 4.892720, 350.94,  468.00, 172, -2, 0.00, 1
2016/12/31, 01:47:48, 47.406639, 4.892834, 359.97,  2196.00, 148, 0, 80.63, 1
