Date,Time,Latitude,Longitude,Altitude,Speed,Course,Type,Distance,Essential
2016/12/12,12:00:16,47.413269,4.902943,267.899994,0.50,NA,NA,NA,NA
2016/12/12,12:10:15,47.412441,4.903059,293.559998,0.96,NA,NA,NA,NA
2016/12/12,12:20:14,47.410774,4.903357,410.959991,0.58,NA,NA,NA,NA
2016/12/12,12:30:29,47.411259,4.903202,369.399994,1.07,NA,NA,NA,NA
2016/12/12,14:02:18,47.411259,4.903202,369.399994,1.07,NA,NA,NA,NA
2016/12/12,14:14:04,47.411476,4.902992,365.299988,0.31,NA,NA,NA,NA
2016/12/12,15:03:13,47.411278,4.903172,366.179993,0.33,NA,NA,NA,NA
2016/12/12,16:13:25,47.411278,4.903172,366.179993,0.33,NA,NA,NA,NA
2016/12/12,16:48:34,47.411125,4.903082,298.239990,0.18,NA,NA,NA,NA
2016/12/12,17:05:04,47.411125,4.903082,298.239990,0.18,NA,NA,NA,NA
2016/12/12,17:15:29,47.411549,4.903013,345.910004,2.28,NA,NA,NA,NA
2016/12/12,18:56:30,47.411549,4.903013,345.910004,2.28,NA,NA,NA,NA
2016/12/12,19:18:52,47.411434,4.903198,365.949982,0.79,NA,NA,NA,NA
2016/12/12,19:28:56,47.411346,4.902212,229.909988,0.38,NA,NA,NA,NA
2016/12/12,19:38:52,47.411549,4.903242,394.259979,0.00,NA,NA,NA,NA
2016/12/12,19:49:07,47.411438,4.903238,351.979980,0.25,NA,NA,NA,NA
2016/12/12,20:06:57,47.411415,4.903114,353.589996,0.05,NA,NA,NA,NA
2016/12/12,20:39:51,47.411385,4.903241,339.899994,0.06,NA,NA,NA,NA
2016/12/12,21:21:25,47.411469,4.903028,372.630005,0.22,NA,NA,NA,NA
2016/12/12,21:57:09,47.411335,4.902945,342.000000,0.28,NA,NA,NA,NA
2016/12/12,22:33:33,47.411453,4.903015,346.589996,0.23,NA,NA,NA,NA
2016/12/12,23:05:57,47.411335,4.903078,344.220001,0.08,NA,NA,NA,NA
2016/12/12,23:40:00,47.411335,4.903078,344.220001,0.25,NA,NA,NA,NA
2016/12/13,00:14:12,47.411491,4.903115,371.669983,0.20,NA,NA,NA,NA
2016/12/13,00:53:32,47.411392,4.902808,376.970001,0.08,NA,NA,NA,NA
2016/12/13,01:31:03,47.41148,4.903148,352.789978,0.55,NA,NA,NA,NA
2016/12/13,02:12:20,47.41148,4.903148,352.789978,0.55,NA,NA,NA,NA
2016/12/13,02:25:36,47.411457,4.903091,349.350006,0.04,NA,NA,NA,NA
2016/12/13,03:08:28,47.411247,4.902905,329.570007,0.16,NA,NA,NA,NA
2016/12/13,03:19:02,47.411293,4.903027,348.799988,0.14,NA,NA,NA,NA
2016/12/13,03:46:32,47.411507,4.902925,371.959991,0.11,NA,NA,NA,NA
2016/12/13,04:15:47,47.411507,4.902925,371.959991,0.11,NA,NA,NA,NA
2016/12/13,04:52:57,47.411469,4.902782,322.169983,0.47,NA,NA,NA,NA
2016/12/13,06:20:13,47.411469,4.902782,322.169983,0.47,NA,NA,NA,NA
2016/12/13,06:58:48,47.411354,4.903327,365.259979,0.00,NA,NA,NA,NA
2016/12/13,07:08:46,47.411346,4.903416,370.369995,0.22,NA,NA,NA,NA
2016/12/13,07:51:26,47.411346,4.903416,370.369995,0.22,NA,NA,NA,NA
2016/12/13,08:25:55,47.411613,4.903041,340.850006,0.05,NA,NA,NA,NA
2016/12/13,09:00:42,47.41161,4.902999,354.929993,0.00,NA,NA,NA,NA
2016/12/13,09:10:28,47.411343,4.903644,340.109985,0.00,NA,NA,NA,NA
2016/12/13,09:20:22,47.410938,4.904357,416.899994,0.79,NA,NA,NA,NA
2016/12/13,09:38:24,47.411446,4.903106,365.339996,0.17,NA,NA,NA,NA
2016/12/13,10:14:32,47.411346,4.903025,337.660004,0.48,NA,NA,NA,NA
2016/12/13,10:50:16,47.411514,4.903134,379.190002,2.02,NA,NA,NA,NA
2016/12/13,11:17:03,47.41143,4.903062,342.339996,0.13,NA,NA,NA,NA
2016/12/13,11:42:50,47.411366,4.903008,366.380005,0.07,NA,NA,NA,NA
2016/12/13,11:52:50,47.411377,4.903028,364.039978,0.66,NA,NA,NA,NA
2016/12/13,12:02:48,47.41135,4.903036,390.209991,0.00,NA,NA,NA,NA
2016/12/13,12:12:46,47.411209,4.90309,402.809998,0.27,NA,NA,NA,NA
2016/12/13,12:22:45,47.411453,4.903,356.559998,0.01,NA,NA,NA,NA
2016/12/13,12:32:46,47.41153,4.903032,349.570007,2.73,NA,NA,NA,NA
2016/12/13,12:42:48,47.411301,4.903216,397.940002,0.34,NA,NA,NA,NA
2016/12/13,12:53:16,47.411484,4.902853,381.750000,0.64,NA,NA,NA,NA
2016/12/13,13:03:56,47.4114,4.903046,351.750000,0.34,NA,NA,NA,NA
2016/12/13,13:16:46,47.411346,4.90322,375.789978,0.00,NA,NA,NA,NA
