Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/12/26, 08:38:47, 47.411522, 4.899512, 408.90,  2016.00, 38, -2, 0.00, 1
2016/12/26, 09:30:28, 47.410812, 4.900568, 352.73,  432.00, 111, 0, 112.01, 1
2016/12/26, 09:40:25, 47.410770, 4.900343, 352.33,  3672.00, 15, 0, 17.56, 1
2016/12/26, 10:18:15, 47.410965, 4.899938, 381.48,  828.00, 116, 0, 37.40, 1
2016/12/26, 10:56:33, 47.410999, 4.899731, 377.93,  288.00, 286, 0, 16.03, 1
2016/12/26, 11:28:30, 47.411003, 4.899755, 374.98,  1044.00, 4, 0, 1.86, 1
2016/12/26, 11:57:44, 47.410877, 4.899686, 357.74,  432.00, 146, 0, 14.94, 1
2016/12/26, 12:24:22, 47.410976, 4.899739, 372.72,  1008.00, 222, 0, 11.71, 1
2016/12/26, 12:54:47, 47.410812, 4.899889, 372.77,  1512.00, 348, 0, 21.45, 1
2016/12/26, 13:19:03, 47.411030, 4.900215, 381.28,  2088.00, 346, 0, 34.49, 1
2016/12/26, 13:42:49, 47.410809, 4.899884, 417.89,  3384.00, 348, 0, 34.99, 1
2016/12/26, 14:06:55, 47.411098, 4.899550, 316.52,  972.00, 330, 0, 40.80, 1
2016/12/26, 14:44:54, 47.411057, 4.899688, 378.08,  864.00, 91, 0, 11.34, 1
2016/12/26, 15:22:15, 47.411068, 4.900265, 370.39,  1440.00, 327, 0, 43.44, 1
2016/12/26, 15:53:03, 47.411129, 4.900226, 380.63,  2160.00, 252, 0, 7.39, 1
2016/12/26, 16:31:20, 47.410748, 4.899773, 401.58,  5256.00, 85, 0, 54.38, 1
2016/12/26, 17:23:32, 47.411240, 4.900584, 364.88,  1152.00, 260, 0, 81.96, 1
2016/12/26, 18:18:55, 47.412067, 4.900006, 404.41,  936.00, 173, 0, 101.73, 1
2016/12/26, 19:17:18, 47.411850, 4.900286, 408.93,  4680.00, 299, -4, 32.03, 1
