Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/12/13, 02:30:28, 47.412563, 4.904603, 416.78,  2088.00, 89, -2, 0.00, 1
2016/12/13, 02:42:18, 47.415710, 4.904666, 411.10,  2448.00, 36, 0, 349.96, 1
2016/12/13, 02:52:53, 47.415710, 4.904666, 411.10,  2448.00, 36, 0, 0.00, 1
2016/12/13, 03:04:03, 47.412952, 4.904109, 354.61,  1080.00, 211, 0, 309.53, 1
2016/12/13, 08:09:51, 47.412952, 4.904109, 354.61,  1080.00, 211, 0, 0.00, 
2016/12/13, 08:21:01, 47.412930, 4.904748, 381.49,  540.00, 112, 0, 48.14, 1
2016/12/13, 08:31:01, 47.412113, 4.904965, 386.00,  1332.00, 128, 0, 92.30, 1
2016/12/13, 08:40:50, 47.412582, 4.905095, 386.25,  648.00, 33, 0, 53.06, 1
2016/12/13, 08:50:36, 47.413120, 4.904939, 387.88,  864.00, 162, 0, 60.96, 1
2016/12/13, 09:00:23, 47.413105, 4.905042, 406.39,  1188.00, 25, 0, 7.93, 1
2016/12/13, 09:10:07, 47.413013, 4.905107, 358.12,  0.00, 168, 0, 11.34, 1
2016/12/13, 09:19:59, 47.413094, 4.904931, 433.61,  1440.00, 229, 0, 16.02, 1
2016/12/13, 09:29:49, 47.412884, 4.904953, 387.47,  576.00, 335, 0, 23.41, 1
2016/12/13, 09:39:37, 47.412868, 4.905130, 335.46,  288.00, 283, 0, 13.44, 1
2016/12/13, 09:49:44, 47.411495, 4.905498, 723.60,  11088.00, 179, 0, 155.16, 1
2016/12/13, 13:10:33, 47.411495, 4.905498, 723.60,  11088.00, 179, 0, 0.00, 
2016/12/13, 13:21:09, 47.412952, 4.905328, 307.08,  1080.00, 16, 0, 162.52, 1
2016/12/13, 13:31:30, 47.413086, 4.904565, 420.49,  504.00, 134, 0, 59.32, 1
2016/12/13, 13:41:27, 47.412956, 4.905080, 390.24,  504.00, 126, 0, 41.36, 1
2016/12/13, 13:51:24, 47.412899, 4.905347, 320.88,  648.00, 166, 0, 21.07, 1
2016/12/13, 14:01:13, 47.412693, 4.905232, 297.38,  1944.00, 0, 0, 24.49, 1
2016/12/13, 14:11:21, 47.412693, 4.905232, 297.38,  1944.00, 0, 0, 0.00, 1
2016/12/13, 14:22:16, 47.413155, 4.905324, 361.51,  2844.00, 325, 0, 51.84, 1
2016/12/13, 14:34:12, 47.413155, 4.905324, 361.51,  2844.00, 325, 0, 0.00, 1
2016/12/13, 14:45:16, 47.413570, 4.905412, 311.44,  1152.00, 200, 0, 46.62, 1
2016/12/13, 15:50:32, 47.413570, 4.905412, 311.44,  1152.00, 200, 0, 0.00, 1
2016/12/13, 16:01:05, 47.413124, 4.904965, 414.63,  396.00, 321, 0, 59.92, 1
2016/12/13, 16:11:07, 47.412949, 4.904783, 322.62,  0.00, 63, 0, 23.80, 1
2016/12/13, 16:20:59, 47.412613, 4.904564, 312.59,  612.00, 233, 0, 40.83, 1
2016/12/13, 16:30:47, 47.412457, 4.904400, 359.48,  0.00, 39, 0, 21.29, 1
2016/12/13, 16:40:32, 47.412453, 4.904676, 362.87,  4536.00, 84, 0, 20.77, 1
2016/12/13, 16:50:13, 47.412235, 4.904904, 337.71,  0.00, 20, 0, 29.70, 1
2016/12/13, 16:59:56, 47.412941, 4.904708, 302.34,  1332.00, 20, 0, 79.88, 1
2016/12/13, 17:09:48, 47.412941, 4.904708, 302.34,  1332.00, 20, 0, 0.00, 1
2016/12/13, 17:19:45, 47.412823, 4.904701, 305.30,  180.00, 247, 0, 13.13, 1
2016/12/13, 17:29:35, 47.412975, 4.903638, 346.81,  2736.00, 354, 0, 81.75, 1
2016/12/13, 17:39:28, 47.408253, 4.897432, 2785.61,  2340.00, 130, 0, 702.70, 1
2016/12/13, 17:49:14, 47.413403, 4.902886, 369.57,  936.00, 356, 0, 704.54, 1
2016/12/13, 17:58:56, 47.413303, 4.902888, 407.16,  2376.00, 182, 0, 11.12, 1
2016/12/13, 18:08:39, 47.412891, 4.902660, 388.05,  828.00, 306, 0, 48.92, 1
2016/12/13, 18:18:18, 47.412094, 4.902942, 380.27,  2016.00, 150, 0, 91.13, 1
2016/12/13, 18:28:07, 47.411633, 4.901436, 389.78,  1908.00, 156, 0, 124.38, 1
2016/12/13, 18:37:45, 47.412445, 4.901677, 407.78,  324.00, 20, 0, 92.09, 1
2016/12/13, 18:47:32, 47.412781, 4.901513, 405.37,  360.00, 174, 0, 39.35, 1
2016/12/13, 18:57:20, 47.412548, 4.901660, 410.50,  1008.00, 144, 0, 28.17, 1
2016/12/13, 19:07:09, 47.412434, 4.901903, 408.68,  756.00, 180, 0, 22.25, 1
2016/12/13, 19:16:57, 47.412830, 4.904798, 407.84,  720.00, 171, 0, 222.25, 1
2016/12/13, 20:18:44, 47.412830, 4.904798, 407.84,  720.00, 171, 0, 0.00, 1
2016/12/13, 20:29:42, 47.412209, 4.905058, 467.75,  8856.00, 170, 0, 71.77, 1
2016/12/13, 20:45:39, 47.412941, 4.904526, 282.59,  3348.00, 322, 0, 90.71, 1
2016/12/13, 20:56:09, 47.412941, 4.904526, 282.59,  3348.00, 322, 0, 0.00, 1
2016/12/13, 21:07:32, 47.412643, 4.904023, 241.47,  0.00, 0, 0, 50.30, 1
2016/12/13, 21:35:23, 47.412853, 4.904171, 376.91,  5112.00, 232, 0, 25.87, 1
2016/12/13, 22:05:42, 47.412685, 4.904231, 409.88,  3060.00, 181, 0, 19.22, 1
2016/12/14, 00:20:06, 47.412685, 4.904231, 409.88,  3060.00, 181, 0, 0.00, 
2016/12/14, 00:31:34, 47.409683, 4.908936, 3655.74,  2628.00, 103, -4, 486.60, 1
