Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/12/15, 01:02:43, 47.410255, 4.899210, 366.10,  1872.00, 325, -2, 0.00, 1
2016/12/15, 01:12:24, 47.410275, 4.899042, 345.33,  2808.00, 323, 0, 12.84, 1
2016/12/15, 01:22:06, 47.410282, 4.899169, 362.78,  3384.00, 303, 0, 9.59, 1
2016/12/15, 01:31:58, 47.410168, 4.899207, 359.62,  1368.00, 324, 0, 12.99, 1
2016/12/15, 01:41:57, 47.410221, 4.899219, 369.56,  1836.00, 316, 0, 5.96, 1
2016/12/15, 01:51:51, 47.409592, 4.900229, 524.70,  1080.00, 337, 0, 103.29, 1
2016/12/15, 02:02:19, 47.410294, 4.899247, 394.34,  900.00, 171, 0, 107.49, 1
2016/12/15, 02:17:42, 47.410343, 4.899235, 398.91,  324.00, 134, 0, 5.52, 1
2016/12/15, 02:34:00, 47.410110, 4.899193, 360.71,  0.00, 325, 0, 26.10, 1
2016/12/15, 02:43:41, 47.410007, 4.899197, 370.68,  36.00, 16, 0, 11.46, 1
2016/12/15, 02:53:32, 47.408329, 4.899340, 616.00,  3204.00, 238, 0, 186.90, 1
2016/12/15, 03:03:57, 47.410168, 4.899275, 388.23,  648.00, 53, 0, 204.55, 1
2016/12/15, 03:13:44, 47.410172, 4.899292, 399.83,  1800.00, 178, 0, 1.35, 1
2016/12/15, 03:23:57, 47.410179, 4.899216, 367.65,  540.00, 7, 0, 5.77, 1
2016/12/15, 03:37:48, 47.410236, 4.899286, 373.89,  216.00, 99, 0, 8.24, 1
2016/12/15, 03:47:26, 47.410236, 4.899202, 359.02,  1008.00, 116, 0, 6.32, 1
2016/12/15, 03:57:08, 47.410172, 4.899217, 363.72,  612.00, 169, 0, 7.21, 1
2016/12/15, 04:06:50, 47.410118, 4.899165, 367.55,  864.00, 8, 0, 7.17, 1
2016/12/15, 04:16:30, 47.410137, 4.899215, 364.41,  0.00, 225, 0, 4.32, 1
2016/12/15, 04:26:08, 47.410072, 4.899301, 396.27,  9108.00, 132, 0, 9.70, 1
2016/12/15, 04:35:57, 47.410194, 4.899201, 370.81,  360.00, 127, 0, 15.51, 1
2016/12/15, 04:45:50, 47.410206, 4.899155, 377.06,  576.00, 104, 0, 3.71, 1
2016/12/15, 04:55:51, 47.410103, 4.899297, 386.16,  432.00, 134, 0, 15.66, 1
2016/12/15, 05:05:55, 47.409966, 4.899484, 401.89,  756.00, 171, 0, 20.74, 1
2016/12/15, 05:18:26, 47.410118, 4.899462, 394.03,  1116.00, 296, 0, 16.98, 1
2016/12/15, 05:33:15, 47.410175, 4.899394, 391.34,  684.00, 68, 0, 8.15, 1
2016/12/15, 05:48:30, 47.410183, 4.899215, 358.81,  1224.00, 26, 0, 13.50, 1
2016/12/15, 06:03:27, 47.410210, 4.899219, 369.48,  180.00, 72, 0, 3.02, 1
2016/12/15, 06:19:41, 47.410175, 4.899266, 376.11,  756.00, 112, 0, 5.26, 1
2016/12/15, 06:29:20, 47.410202, 4.899145, 358.43,  0.00, 62, 0, 9.59, 1
2016/12/15, 06:39:03, 47.410156, 4.899152, 368.52,  144.00, 48, 0, 5.14, 1
2016/12/15, 06:48:42, 47.410198, 4.899168, 372.70,  0.00, 280, 0, 4.82, 1
2016/12/15, 06:58:22, 47.410164, 4.899212, 384.54,  0.00, 240, 0, 5.03, 1
2016/12/15, 07:08:03, 47.410145, 4.899242, 382.69,  0.00, 68, 0, 3.09, 1
2016/12/15, 07:17:39, 47.410152, 4.899289, 388.81,  252.00, 312, 0, 3.62, 1
2016/12/15, 07:27:18, 47.410130, 4.899209, 376.26,  0.00, 83, 0, 6.50, 1
2016/12/15, 07:36:58, 47.410069, 4.899369, 382.35,  0.00, 129, 0, 13.82, 1
2016/12/15, 07:46:37, 47.410080, 4.899398, 386.83,  0.00, 297, 0, 2.50, 1
2016/12/15, 07:56:17, 47.410206, 4.899230, 360.23,  0.00, 21, 0, 18.87, 1
2016/12/15, 08:05:57, 47.409973, 4.899520, 389.36,  6588.00, 119, 0, 33.87, 1
2016/12/15, 08:16:03, 47.410118, 4.899246, 378.17,  504.00, 127, 0, 26.17, 1
2016/12/15, 08:25:41, 47.410175, 4.899283, 380.53,  0.00, 355, 0, 6.92, 1
2016/12/15, 08:35:19, 47.410194, 4.899287, 383.95,  0.00, 130, 0, 2.13, 1
2016/12/15, 08:44:58, 47.410137, 4.899135, 367.12,  0.00, 209, 0, 13.08, 1
2016/12/15, 08:54:37, 47.410252, 4.899324, 392.36,  0.00, 0, 0, 19.13, 1
2016/12/15, 09:04:19, 47.410252, 4.899307, 378.27,  612.00, 146, 0, 1.28, 1
2016/12/15, 09:13:59, 47.410187, 4.899195, 366.27,  792.00, 273, 0, 11.10, 1
2016/12/15, 09:23:36, 47.410175, 4.899283, 374.29,  540.00, 56, 0, 6.76, 1
2016/12/15, 09:33:16, 47.410206, 4.899303, 381.48,  540.00, 0, 0, 3.76, 1
2016/12/15, 09:42:54, 47.410160, 4.899298, 382.61,  540.00, 98, 0, 5.13, 1
2016/12/15, 09:52:32, 47.410194, 4.899295, 378.40,  720.00, 283, 0, 3.79, 1
2016/12/15, 10:02:13, 47.410122, 4.899395, 381.68,  0.00, 271, 0, 10.99, 1
2016/12/15, 10:12:09, 47.410221, 4.898972, 332.59,  4968.00, 286, 0, 33.68, 1
2016/12/15, 10:22:09, 47.410191, 4.899107, 347.94,  2376.00, 292, 0, 10.69, 1
2016/12/15, 10:32:21, 47.410160, 4.899247, 373.79,  360.00, 135, 0, 11.08, 1
2016/12/15, 10:45:36, 47.410206, 4.899257, 374.49,  0.00, 210, 0, 5.17, 1
2016/12/15, 10:55:16, 47.410156, 4.899221, 364.73,  1368.00, 274, 0, 6.18, 1
2016/12/15, 11:04:59, 47.410172, 4.899255, 370.97,  0.00, 323, 0, 3.12, 1
2016/12/15, 11:14:44, 47.410133, 4.899234, 378.82,  468.00, 46, 0, 4.62, 1
2016/12/15, 11:24:29, 47.410152, 4.899199, 380.88,  0.00, 203, 0, 3.38, 1
2016/12/15, 11:34:15, 47.410210, 4.899161, 374.86,  0.00, 20, 0, 7.05, 1
2016/12/15, 11:44:01, 47.410194, 4.899336, 392.30,  1116.00, 276, 0, 13.29, 1
2016/12/15, 11:53:52, 47.410175, 4.899218, 384.56,  252.00, 276, 0, 9.13, 1
2016/12/15, 12:03:43, 47.410290, 4.899191, 352.27,  0.00, 125, 0, 12.95, 1
2016/12/15, 12:13:30, 47.410210, 4.899094, 371.34,  792.00, 236, 0, 11.51, 1
2016/12/15, 12:23:20, 47.410221, 4.899319, 374.72,  648.00, 217, 0, 16.98, 1
2016/12/15, 12:33:10, 47.410046, 4.899343, 410.96,  2736.00, 51, 0, 19.54, 1
2016/12/15, 12:43:02, 47.410191, 4.899107, 372.94,  900.00, 35, 0, 23.99, 1
2016/12/15, 12:53:14, 47.410149, 4.899230, 386.90,  1008.00, 268, 0, 10.37, 1
2016/12/15, 13:03:33, 47.410168, 4.899236, 378.88,  324.00, 38, 0, 2.16, 1
