Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/12/11, 01:03:39, 47.408436, 4.901507, 1014.63,  1188.00, 349, -2, 0.00, 1
2016/12/11, 01:23:51, 47.409584, 4.902218, 601.16,  3672.00, 99, 0, 138.41, 1
2016/12/11, 01:43:20, 47.409725, 4.900274, 336.20,  1008.00, 251, 0, 147.13, 1
2016/12/11, 02:06:37, 47.410374, 4.900275, 386.28,  3204.00, 42, 0, 72.17, 1
2016/12/11, 02:31:00, 47.410187, 4.901567, 532.25,  2016.00, 130, 0, 99.42, 1
2016/12/11, 02:54:24, 47.409458, 4.900428, 301.73,  7704.00, 56, 0, 117.97, 1
2016/12/11, 03:24:05, 47.405708, 4.894990, 267.39,  1152.00, 143, 0, 584.25, 1
2016/12/11, 04:19:51, 47.408268, 4.894068, 823.89,  16668.00, 76, 0, 292.99, 1
2016/12/11, 04:36:25, 47.407269, 4.878415, 933.32,  4392.00, 247, 0, 1183.18, 1
2016/12/11, 07:13:51, 47.407269, 4.878415, 933.32,  4392.00, 247, 0, 0.00, 1
2016/12/11, 07:26:27, 47.409828, 4.898622, 363.14,  1116.00, 298, 0, 1547.03, 1
2016/12/11, 07:37:09, 47.409931, 4.898831, 425.24,  2844.00, 352, 0, 19.46, 1
2016/12/11, 07:48:22, 47.409969, 4.898887, 433.01,  864.00, 99, 0, 5.97, 1
2016/12/11, 08:48:04, 47.410480, 4.899394, 403.92,  540.00, 66, 0, 68.44, 1
2016/12/11, 09:44:36, 47.411026, 4.900213, 355.55,  720.00, 3, 0, 86.51, 1
2016/12/11, 10:26:39, 47.410637, 4.900816, 397.28,  936.00, 302, 0, 62.69, 1
2016/12/11, 10:36:57, 47.410179, 4.903597, 560.37,  7596.00, 275, 0, 215.38, 1
2016/12/11, 10:57:57, 47.410816, 4.900206, 350.42,  684.00, 334, 0, 264.82, 1
2016/12/11, 11:20:24, 47.410866, 4.900298, 374.05,  0.00, 124, 0, 8.88, 1
2016/12/11, 11:30:29, 47.410816, 4.900315, 367.22,  0.00, 159, 0, 5.71, 1
2016/12/11, 11:40:32, 47.410736, 4.900616, 374.57,  2412.00, 120, 0, 24.33, 1
2016/12/11, 11:51:14, 47.410927, 4.899755, 306.79,  7452.00, 302, 0, 68.18, 1
2016/12/11, 12:04:15, 47.410866, 4.900017, 380.01,  2016.00, 167, 0, 20.85, 1
2016/12/11, 12:21:55, 47.410431, 4.900023, 377.46,  1908.00, 191, 0, 48.37, 1
2016/12/11, 12:39:01, 47.410473, 4.899298, 381.77,  828.00, 116, 0, 54.76, 1
2016/12/11, 12:55:57, 47.410492, 4.899236, 374.25,  0.00, 119, 0, 5.12, 1
2016/12/11, 13:06:07, 47.410412, 4.899336, 371.95,  0.00, 152, 0, 11.65, 1
2016/12/11, 13:16:21, 47.410599, 4.899203, 372.05,  756.00, 323, 0, 23.08, 1
2016/12/11, 13:26:36, 47.410545, 4.899180, 354.98,  0.00, 118, 0, 6.25, 1
2016/12/11, 13:36:45, 47.410545, 4.899224, 354.40,  756.00, 173, 0, 3.31, 1
2016/12/11, 13:46:56, 47.410484, 4.899241, 363.72,  1116.00, 150, 0, 6.90, 1
2016/12/11, 13:57:10, 47.410568, 4.899216, 365.57,  0.00, 111, 0, 9.53, 1
2016/12/11, 14:07:48, 47.410732, 4.899245, 375.07,  2232.00, 339, 0, 18.37, 1
2016/12/11, 14:18:27, 47.410542, 4.897682, 306.48,  8532.00, 347, 0, 119.50, 1
2016/12/11, 14:32:03, 47.410812, 4.899871, 391.06,  216.00, 45, 0, 167.44, 1
2016/12/11, 14:47:09, 47.410549, 4.899705, 393.20,  1008.00, 228, 0, 31.80, 1
2016/12/11, 14:57:09, 47.410152, 4.899227, 354.92,  5904.00, 158, 0, 56.94, 1
2016/12/11, 15:07:15, 47.410789, 4.899849, 325.51,  0.00, 190, 0, 84.90, 1
2016/12/11, 15:17:22, 47.410351, 4.899776, 350.02,  8748.00, 345, 0, 49.01, 1
2016/12/11, 15:27:41, 47.410000, 4.899673, 345.67,  180.00, 190, 0, 39.79, 1
2016/12/11, 15:38:04, 47.409485, 4.899544, 359.90,  2232.00, 255, 0, 58.08, 1
2016/12/11, 15:50:01, 47.409431, 4.899745, 377.89,  0.00, 225, 0, 16.27, 1
2016/12/11, 16:00:07, 47.410225, 4.898489, 382.87,  0.00, 153, 0, 129.34, 1
2016/12/11, 16:10:10, 47.410072, 4.898854, 359.85,  0.00, 308, 0, 32.31, 1
2016/12/11, 16:20:12, 47.410515, 4.898760, 365.26,  1404.00, 138, 0, 49.76, 1
2016/12/11, 16:30:17, 47.410599, 4.899066, 381.37,  612.00, 314, 0, 24.85, 1
2016/12/11, 16:40:30, 47.410423, 4.899318, 355.32,  0.00, 297, 0, 27.25, 1
2016/12/11, 16:50:41, 47.410561, 4.899157, 387.22,  0.00, 102, 0, 19.55, 1
2016/12/11, 17:01:29, 47.410378, 4.899374, 382.83,  1440.00, 124, 0, 26.09, 1
2016/12/11, 17:12:01, 47.410500, 4.899253, 353.77,  504.00, 339, 0, 16.34, 1
2016/12/11, 17:25:22, 47.410820, 4.899016, 352.73,  0.00, 291, 0, 39.80, 1
2016/12/11, 17:35:33, 47.410511, 4.899289, 365.53,  0.00, 28, 0, 40.03, 1
2016/12/11, 17:45:43, 47.410393, 4.899320, 397.54,  0.00, 319, 0, 13.33, 1
2016/12/11, 17:55:51, 47.410423, 4.898697, 354.31,  0.00, 109, 0, 47.00, 1
2016/12/11, 18:06:17, 47.410904, 4.899540, 359.12,  360.00, 289, 0, 82.97, 1
2016/12/11, 18:16:54, 47.410736, 4.899635, 393.95,  864.00, 159, 0, 20.00, 1
2016/12/11, 18:31:54, 47.409985, 4.897885, 371.00,  3024.00, 323, 0, 155.93, 1
2016/12/11, 18:42:18, 47.409878, 4.897638, 383.12,  2916.00, 188, 0, 22.07, 1
2016/12/11, 18:54:57, 47.409859, 4.897284, 666.73,  792.00, 64, 0, 26.72, 1
2016/12/11, 19:07:59, 47.409733, 4.898038, 452.95,  828.00, 316, 0, 58.44, 1
2016/12/11, 19:22:15, 47.409676, 4.897877, 389.15,  972.00, 82, 0, 13.67, 1
2016/12/11, 19:39:33, 47.409771, 4.897675, 379.36,  0.00, 125, 0, 18.51, 1
2016/12/11, 19:57:00, 47.410690, 4.895925, 328.93,  936.00, 0, 0, 166.69, 1
2016/12/11, 20:07:01, 47.409767, 4.896376, 392.17,  1548.00, 212, 0, 108.10, 1
2016/12/11, 20:17:06, 47.409695, 4.896375, 370.31,  216.00, 31, 0, 8.01, 1
2016/12/11, 20:27:16, 47.409859, 4.896490, 336.16,  0.00, 234, 0, 20.19, 1
2016/12/11, 20:37:21, 47.409912, 4.898481, 378.99,  360.00, 7, 0, 149.94, 1
2016/12/11, 20:47:22, 47.410027, 4.898796, 373.72,  2952.00, 94, 0, 26.93, 1
2016/12/11, 20:57:19, 47.411793, 4.900166, 458.94,  10440.00, 187, 0, 221.79, 1
2016/12/11, 21:07:37, 47.410099, 4.899497, 395.43,  1260.00, 87, 0, 194.98, 1
2016/12/11, 21:17:53, 47.410210, 4.898764, 358.20,  864.00, 274, 0, 56.52, 1
2016/12/11, 21:28:27, 47.410244, 4.898776, 374.30,  648.00, 53, 0, 3.89, 1
2016/12/11, 21:42:51, 47.409828, 4.898705, 361.90,  4140.00, 327, 0, 46.56, 1
2016/12/11, 21:52:52, 47.409832, 4.898788, 366.37,  0.00, 254, 0, 6.26, 1
2016/12/11, 22:03:55, 47.409966, 4.899047, 438.69,  3168.00, 92, 0, 24.53, 1
2016/12/11, 22:24:50, 47.409775, 4.898536, 378.50,  1944.00, 336, -4, 43.93, 1
